City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Vao,NC,69.62,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
456,Ligayan,PH,83.86,moderate rain,4.6533,119.4706,
458,Alghero,IT,73.49,few clouds,40.5589,8.3181,Villa Las Tronas Hotel & Spa
460,Port Blair,IN,79.65,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
461,Vilhena,BR,88.02,clear sky,-12.7406,-60.1458,Hotel Mirage
462,Santa Maria Del Oro,MX,72.95,clear sky,25.9333,-105.3667,Hotel Palacio Del Sol
465,Rio Cuarto,AR,69.57,clear sky,-33.1307,-64.3499,Grand Hotel Río Cuarto
467,Caravelas,BR,77.99,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
470,Barra Do Garcas,BR,86.58,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
474,Puro,PH,79.48,overcast clouds,12.4841,123.3827,
475,Tiarei,PF,73.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
476,Nachingwea,TZ,80.44,scattered clouds,-10.3833,38.7667,Makoga lodge
477,Homun,MX,85.95,broken clouds,20.7333,-89.2833,"Restaurant Y Hotel ""Santa Maria"""
479,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
480,Zhicheng,CN,65.25,light rain,30.2956,111.5047,Wangjiang Building
481,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
483,Inongo,CD,82.53,scattered clouds,-1.95,18.2667,Hotel Du Lac
