City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
202,Georgetown,MY,5.4112,100.3354,82.35,87,20,3.44,few clouds,2021-10-09 15:20:32
203,Mae Hong Son,TH,19.3003,97.9685,75.18,95,88,1.59,overcast clouds,2021-10-09 15:28:25
204,Avera,US,33.194,-82.5271,74.71,80,34,10.63,scattered clouds,2021-10-09 15:23:53
205,Dikson,RU,73.5069,80.5464,30.09,64,100,19.04,light snow,2021-10-09 15:25:39
206,Ntchisi,MW,-13.5278,33.9149,77.27,26,11,9.55,few clouds,2021-10-09 15:28:26
207,Gari,RU,59.4307,62.3497,37.76,69,95,7.81,overcast clouds,2021-10-09 15:28:26
208,Katsuura,JP,35.1333,140.3,72.19,84,41,8.41,scattered clouds,2021-10-09 15:24:50
209,Hluk,CZ,48.9881,17.5267,58.32,38,0,5.19,clear sky,2021-10-09 15:28:26
210,Buala,SB,-8.145,159.5921,79.45,81,100,3.0,overcast clouds,2021-10-09 15:28:27
211,Okahandja,NA,-21.9833,16.9167,91.71,3,0,15.86,clear sky,2021-10-09 15:28:27
212,Yambio,SS,4.5721,28.3955,83.89,66,72,3.51,broken clouds,2021-10-09 15:28:28
213,Belaya Gora,RU,68.5333,146.4167,12.45,88,56,4.65,broken clouds,2021-10-09 15:25:45
214,Luderitz,NA,-26.6481,15.1594,72.9,47,3,28.92,clear sky,2021-10-09 15:25:20
215,Stamford,US,41.0534,-73.5387,69.53,78,75,7.0,broken clouds,2021-10-09 15:27:11
216,Bac Lieu,VN,9.285,105.7244,78.8,89,71,9.66,broken clouds,2021-10-09 15:28:28
217,Namibe,AO,-15.1961,12.1522,72.23,68,40,13.8,scattered clouds,2021-10-09 15:28:28
218,Mar Del Plata,AR,-38.0023,-57.5575,60.82,67,0,11.99,clear sky,2021-10-09 15:23:57
219,Radenci,SI,46.642,16.0378,57.9,53,18,8.23,few clouds,2021-10-09 15:28:29
220,Bardiyah,LY,31.7561,25.0865,78.33,51,0,10.04,clear sky,2021-10-09 15:24:30
221,Ler,SS,8.3018,30.1418,77.22,88,95,8.61,heavy intensity rain,2021-10-09 15:28:29
222,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,51,0,10.36,clear sky,2021-10-09 15:24:48
223,Jodhpur,IN,26.2867,73.03,90.0,34,0,8.46,clear sky,2021-10-09 15:25:00
224,Kahului,US,20.8947,-156.47,75.85,89,75,10.36,light rain,2021-10-09 15:24:04
225,Pochutla,MX,15.7432,-96.4661,85.82,67,100,1.19,overcast clouds,2021-10-09 15:26:04
226,Hamilton,US,39.1834,-84.5333,76.41,79,1,1.01,clear sky,2021-10-09 15:28:30
227,Berlevag,NO,70.8578,29.0864,36.99,96,100,7.83,light rain,2021-10-09 15:26:26
228,Bengkulu,ID,-3.8004,102.2655,78.46,90,40,6.49,scattered clouds,2021-10-09 15:23:54
229,Pombas,CV,17.1503,-25.0201,83.98,76,17,12.53,few clouds,2021-10-09 15:28:31
230,Airai,TL,-8.9266,125.4092,59.63,78,50,1.95,scattered clouds,2021-10-09 15:28:31
231,Mandan,US,46.8267,-100.8896,55.38,94,90,18.41,heavy intensity rain,2021-10-09 15:28:32
232,Sechura,PE,-5.5569,-80.8222,72.39,66,41,6.49,scattered clouds,2021-10-09 15:28:33
233,Severo-Kurilsk,RU,50.6789,156.125,43.39,80,45,11.7,scattered clouds,2021-10-09 15:25:07
234,Verkhnevilyuysk,RU,63.4453,120.3167,36.27,78,100,12.41,overcast clouds,2021-10-09 15:28:34
235,Grindavik,IS,63.8424,-22.4338,48.15,87,90,14.97,overcast clouds,2021-10-09 15:24:44
236,Olinda,BR,-8.0089,-34.8553,83.93,65,40,14.97,scattered clouds,2021-10-09 15:28:36
237,Alekseyevsk,RU,57.8406,108.3492,37.65,97,100,14.74,light rain,2021-10-09 15:28:36
238,Luau,AO,-10.7073,22.2247,96.66,14,19,3.0,few clouds,2021-10-09 15:28:37
239,Shirokiy,RU,49.758,129.523,47.01,96,100,12.62,light rain,2021-10-09 15:28:37
240,Bayanday,RU,53.0661,105.5139,33.42,79,96,3.53,overcast clouds,2021-10-09 15:28:37
241,Broken Hill,AU,-31.95,141.4333,58.71,82,90,25.32,moderate rain,2021-10-09 15:27:47
242,Sisimiut,GL,66.9395,-53.6735,32.36,68,100,8.79,overcast clouds,2021-10-09 15:28:38
243,Chapais,CA,49.7834,-74.8492,60.58,63,60,9.55,broken clouds,2021-10-09 15:28:39
244,Mnogovershinnyy,RU,53.9353,139.9242,35.73,57,100,3.22,overcast clouds,2021-10-09 15:28:39
245,Jambi,ID,-1.6,103.6167,79.23,83,99,1.66,overcast clouds,2021-10-09 15:28:40
246,Biak,ID,-0.9131,122.8766,77.29,77,100,4.52,light rain,2021-10-09 15:25:49
247,Dudinka,RU,69.4058,86.1778,18.43,85,96,16.64,overcast clouds,2021-10-09 15:23:56
248,Jacqueville,CI,5.2052,-4.4146,84.11,82,31,13.62,scattered clouds,2021-10-09 15:28:40
249,Beringovskiy,RU,63.05,179.3167,30.38,90,100,8.05,overcast clouds,2021-10-09 15:25:28
250,Half Moon Bay,US,37.4636,-122.4286,58.82,81,40,0.0,scattered clouds,2021-10-09 15:28:42
251,Ventspils,LV,57.3894,21.5606,55.33,82,0,9.22,clear sky,2021-10-09 15:28:42
252,Fayaoue,NC,-20.65,166.5333,73.09,69,14,16.98,few clouds,2021-10-09 15:28:43
253,Kousseri,CM,12.0769,15.0306,102.16,15,0,4.61,clear sky,2021-10-09 15:28:43
254,Kimbe,PG,-5.5502,150.1429,75.34,95,94,2.8,overcast clouds,2021-10-09 15:28:44
255,Aswan,EG,24.0934,32.907,99.32,14,1,11.97,clear sky,2021-10-09 15:28:44
256,Tautira,PF,-17.7333,-149.15,73.42,72,32,1.39,scattered clouds,2021-10-09 15:28:44
257,Pilar,BR,-9.5972,-35.9567,85.93,53,100,10.85,overcast clouds,2021-10-09 15:28:45
258,Qunduz,AF,36.729,68.857,56.66,35,2,5.91,clear sky,2021-10-09 15:28:45
